Gender,Perspective,Age_1,Age_2,Pair_ID,Spare
1,1,1,0,0,1
0,1,1,0,0,0
1,1,0,0,1,1
0,1,0,0,1,0
1,1,0,1,2,1
1,1,1,0,2,0
1,1,0,0,3,0
1,1,0,1,3,1
0,1,0,1,4,1
0,1,1,0,4,0
1,1,0,0,5,0
1,1,1,0,5,1
0,1,0,1,6,0
1,1,0,1,6,1
0,1,0,0,7,0
0,1,1,0,7,1
0,1,0,1,8,1
0,1,0,0,8,0
0,1,1,0,9,1
1,1,1,0,9,0
0,1,0,1,10,1
1,1,0,1,10,0
0,1,0,1,11,1
0,1,1,0,11,0
0,1,0,0,12,0
0,1,0,1,12,1
1,1,0,1,13,1
1,1,1,0,13,0
1,1,0,1,14,1
1,1,0,0,14,0
1,1,1,0,15,1
1,1,0,0,15,0
0,1,0,0,16,0
0,1,1,0,16,1
0,1,1,0,17,1
1,1,1,0,17,0
1,1,0,1,18,1
1,1,0,0,18,0
0,1,0,0,19,0
0,1,0,1,19,1
0,1,0,1,20,0
1,1,0,1,20,1
0,1,0,1,21,0
0,1,1,0,21,1
1,1,1,0,22,1
1,1,0,1,22,0
1,1,0,0,23,0
1,1,1,0,23,1
1,1,0,0,24,1
0,1,0,0,24,0
1,1,0,1,25,1
1,1,0,0,25,0
0,1,0,1,26,1
0,1,0,0,26,0
0,1,0,0,27,0
0,1,1,0,27,1
0,1,1,0,28,0
0,1,0,1,28,1
1,1,1,0,29,0
1,1,0,1,29,1
0,1,0,0,30,0
1,1,0,0,30,1
0,1,1,0,31,0
1,1,1,0,31,1
0,1,0,1,32,0
1,1,0,1,32,1
1,1,1,0,33,1
1,1,0,0,33,0
0,1,1,0,34,0
0,1,0,1,34,1
0,1,0,1,35,0
1,1,0,1,35,1
0,1,0,0,36,0
1,1,0,0,36,1
0,1,0,0,37,1
0,1,1,0,37,0
1,1,0,1,38,1
1,1,1,0,38,0
1,1,0,0,39,0
1,1,0,1,39,1
1,1,0,1,40,0
0,1,0,1,40,1
1,1,0,1,41,1
1,1,1,0,41,0
0,1,0,0,42,0
0,1,1,0,42,1
1,1,1,0,43,0
1,1,0,0,43,1
0,1,1,0,44,0
1,1,1,0,44,1
0,1,0,0,45,1
1,1,0,0,45,0
0,1,0,0,46,0
0,1,0,1,46,1
1,1,0,1,47,1
1,1,0,0,47,0
0,1,0,0,48,0
0,1,1,0,48,1
1,1,0,0,49,0
1,1,1,0,49,1
1,1,0,0,50,1
0,1,0,0,50,0
1,1,0,1,51,1
0,1,0,1,51,0
0,1,1,0,52,1
0,1,0,1,52,0
0,1,0,0,53,0
0,1,0,1,53,1
0,1,1,0,54,0
1,1,1,0,54,1
0,1,0,1,55,1
0,1,1,0,55,0
1,1,1,0,56,1
1,1,0,0,56,0
0,1,0,0,57,0
0,1,0,1,57,1
1,1,0,1,58,1
1,1,1,0,58,0
0,1,1,0,59,0
1,1,1,0,59,1
1,1,0,1,60,1
1,1,0,0,60,0
0,1,1,0,61,1
0,1,0,0,61,0
0,1,0,0,62,0
1,1,0,0,62,1
0,1,0,1,63,1
1,1,0,1,63,0
0,1,1,0,64,1
0,1,0,1,64,0
1,1,1,0,65,1
1,1,0,0,65,0
1,1,1,0,66,1
0,1,1,0,66,0
0,1,0,0,67,1
1,1,0,0,67,0
0,1,0,0,68,0
0,1,0,1,68,1
0,1,1,0,69,1
0,1,0,0,69,0
1,1,0,1,70,1
1,1,1,0,70,0
1,1,0,0,71,0
1,1,0,1,71,1
0,1,0,1,72,1
0,1,0,0,72,0
1,1,0,1,73,1
0,1,0,1,73,0
1,1,1,0,74,1
0,1,1,0,74,0
0,1,1,0,75,0
0,1,0,1,75,1
1,1,0,0,76,1
1,1,1,0,76,0
0,1,0,0,77,0
1,1,0,0,77,1
0,1,0,0,78,1
0,1,1,0,78,0
1,1,1,0,79,0
1,1,0,1,79,1
1,1,0,1,80,1
1,1,0,0,80,0
1,1,0,1,81,1
0,1,0,1,81,0
0,1,0,0,82,0
0,1,1,0,82,1
1,1,0,1,83,1
1,1,1,0,83,0
0,1,1,0,84,0
0,1,0,1,84,1
1,1,0,0,85,0
1,1,0,1,85,1
1,1,1,0,86,1
0,1,1,0,86,0
1,1,1,0,87,1
1,1,0,0,87,0
0,1,0,1,88,1
0,1,0,0,88,0
1,1,0,0,89,0
1,1,1,0,89,1
1,1,0,1,90,1
1,1,1,0,90,0
0,1,0,1,91,1
0,1,1,0,91,0
1,1,1,0,92,1
0,1,1,0,92,0
0,1,0,0,93,0
1,1,0,0,93,1
0,1,0,1,94,1
0,1,0,0,94,0
0,1,0,1,95,0
1,1,0,1,95,1
1,1,0,0,96,0
1,1,0,1,96,1
1,1,1,0,97,0
1,1,0,1,97,1
1,1,1,0,98,1
0,1,1,0,98,0
0,1,0,0,99,0
1,1,0,0,99,1
0,1,1,0,100,1
0,1,0,0,100,0
1,1,0,0,101,0
1,1,0,1,101,1
1,1,0,1,102,1
0,1,0,1,102,0
0,1,0,1,103,1
0,1,1,0,103,0
0,1,0,0,104,0
0,1,0,1,104,1
0,1,1,0,105,0
0,1,0,1,105,1
1,1,1,0,106,0
1,1,0,1,106,1
1,1,1,0,107,0
1,1,0,0,107,1
0,1,0,0,108,0
0,1,1,0,108,1
1,1,0,0,109,0
1,1,0,1,109,1
0,1,0,0,110,0
1,1,0,0,110,1
0,1,0,1,111,0
1,1,0,1,111,1
1,1,1,0,112,1
1,1,0,0,112,0
1,1,0,0,113,0
0,1,0,0,113,1
1,1,0,1,114,1
0,1,0,1,114,0
0,1,0,0,115,0
0,1,0,1,115,1
0,1,1,0,116,0
0,1,0,1,116,1
0,1,0,0,117,1
0,1,1,0,117,0
1,1,1,0,118,0
0,1,1,0,118,1
1,1,0,0,119,1
1,1,1,0,119,0
0,1,1,0,120,0
1,1,1,0,120,1
0,1,0,1,121,1
0,1,1,0,121,0
0,1,0,0,122,1
0,1,1,0,122,0
1,1,0,1,123,1
1,1,0,0,123,0
0,1,0,0,124,1
1,1,0,0,124,0
1,1,0,1,125,1
1,1,1,0,125,0
0,1,0,0,126,0
0,1,0,1,126,1
0,1,1,0,127,0
1,1,1,0,127,1
1,1,1,0,128,0
1,1,0,0,128,1
1,1,0,1,129,1
1,1,0,0,129,0
1,1,0,1,130,1
0,1,0,1,130,0
0,1,0,0,131,0
1,1,0,0,131,1
1,1,0,1,132,1
1,1,1,0,132,0
0,1,0,1,133,1
0,1,0,0,133,0
