Ind,Spare,Gender,Age
1,1,1,1
2,0,0,1
13,1,1,0
14,0,0,0
15,1,1,2
16,0,1,1
17,0,1,0
18,1,1,2
21,1,0,2
22,0,0,1
23,0,1,0
24,1,1,1
25,0,0,2
26,1,1,2
27,0,0,0
28,1,0,1
29,1,0,2
30,0,0,0
31,1,0,1
32,0,1,1
33,1,0,2
34,0,1,2
41,1,0,2
42,0,0,1
43,0,0,0
44,1,0,2
45,1,1,2
46,0,1,1
47,1,1,2
48,0,1,0
51,1,1,1
52,0,1,0
57,0,0,0
58,1,0,1
59,1,0,1
60,0,1,1
61,1,1,2
62,0,1,0
65,0,0,0
66,1,0,2
71,0,0,2
72,1,1,2
77,0,0,2
78,1,0,1
79,1,1,1
80,0,1,2
81,0,1,0
82,1,1,1
83,1,1,0
84,0,0,0
91,1,1,2
92,0,1,0
93,1,0,2
94,0,0,0
95,0,0,0
96,1,0,1
97,0,0,1
98,1,0,2
101,0,1,1
102,1,1,2
105,0,0,0
106,1,1,0
107,0,0,1
108,1,1,1
109,0,0,2
110,1,1,2
113,1,1,1
114,0,1,0
115,0,0,1
116,1,0,2
119,0,0,2
120,1,1,2
125,0,0,0
126,1,1,0
127,1,0,0
128,0,0,1
133,1,1,2
134,0,1,1
135,0,1,0
136,1,1,2
137,0,1,2
138,1,0,2
139,1,1,2
140,0,1,1
143,0,0,0
144,1,0,1
147,0,1,1
148,1,1,0
149,0,0,1
150,1,1,1
151,1,0,0
152,0,1,0
153,0,0,0
154,1,0,2
157,1,1,2
158,0,1,0
163,0,0,0
164,1,0,1
169,0,1,0
170,1,1,1
173,1,1,0
174,0,0,0
175,1,1,2
176,0,0,2
177,1,0,1
178,0,0,2
179,0,0,0
180,1,0,2
181,0,0,1
182,1,1,1
185,1,0,2
186,0,0,1
187,1,1,1
188,0,1,0
191,0,0,0
192,1,0,2
197,1,1,2
198,0,1,1
199,0,0,1
200,1,1,1
203,1,1,2
204,0,1,0
205,1,0,1
206,0,0,0
207,0,0,0
208,1,1,0
211,1,0,2
212,0,1,2
219,1,0,1
220,0,0,2
221,1,1,1
222,0,1,0
223,1,1,1
224,0,0,1
225,1,0,0
226,0,1,0
229,0,0,0
230,1,0,2
235,1,0,1
236,0,0,0
237,1,1,2
238,0,1,1
239,0,1,0
240,1,1,2
247,1,0,2
248,0,0,0
249,1,1,2
250,0,0,2
251,1,1,1
252,0,0,1
253,0,0,1
254,1,0,2
257,1,1,0
258,0,1,1
259,0,0,0
260,1,1,0
263,1,0,0
264,0,0,1
265,0,1,1
266,1,1,2
269,1,1,2
270,0,1,0
275,1,1,2
276,0,0,2
279,0,0,0
280,1,0,1
281,1,1,2
282,0,1,1
283,0,0,1
284,1,0,2
285,0,1,0
286,1,1,2
289,1,1,1
290,0,0,1
295,1,1,1
296,0,1,0
297,1,0,2
298,0,0,0
299,0,1,0
300,1,1,1
301,1,1,2
302,0,1,1
303,1,0,2
304,0,0,1
305,1,1,1
306,0,0,1
307,0,0,0
308,1,1,0
319,1,0,2
320,0,0,0
321,0,0,2
322,1,1,2
323,0,1,0
324,1,1,2
325,0,1,1
326,1,1,2
327,1,1,1
328,0,0,1
