Ind,Spare,Gender,Age
3,0,0,1
4,1,1,2
39,0,1,1
40,1,0,2
111,1,1,2
112,0,0,1
267,1,0,0
268,0,1,1
333,1,0,1
334,0,1,0
345,0,0,1
346,1,1,2
357,1,0,2
358,0,1,1
377,0,1,1
378,1,0,2
511,1,1,2
512,0,0,1
593,1,1,2
594,0,0,0
629,1,0,2
630,0,1,0
699,1,1,1
700,0,0,0
775,0,0,1
776,1,1,0
779,1,1,2
780,0,0,1
801,1,0,2
802,0,1,1
807,0,1,0
808,1,0,1
867,1,1,2
868,0,0,1
883,1,0,2
884,0,1,0
927,0,0,0
928,1,1,1
951,0,1,0
952,1,0,1
1053,1,0,1
1054,0,1,0
1077,0,1,1
1078,1,0,2
1091,0,1,0
1092,1,0,1
1155,0,1,1
1156,1,0,2
1157,0,1,0
1158,1,0,2
1159,0,1,0
1160,1,0,1
1175,0,1,1
1176,1,0,2
1225,0,1,0
1226,1,0,2
1299,1,1,2
1300,0,0,0
1325,1,0,1
1326,0,1,0
1333,1,0,2
1334,0,1,0
1343,0,0,0
1344,1,1,1
1347,1,0,2
1348,0,1,1
1393,1,1,1
1394,0,0,0
1443,0,0,0
1444,1,1,1
1471,1,0,1
1472,0,1,0
1531,1,1,2
1532,0,0,0
1549,0,1,0
1550,1,0,1
1563,1,1,2
1564,0,0,1
1699,1,0,2
1700,0,1,0
1803,0,1,0
1804,1,0,1
1869,1,0,2
1870,0,1,1
1967,0,0,0
1968,1,1,2
1999,0,0,0
2000,1,1,2
2005,0,0,0
2006,1,1,2
2091,1,1,2
2092,0,0,0
2119,1,0,2
2120,0,1,0
2163,1,1,0
2164,0,0,1
2187,1,1,0
2188,0,0,2
