Ind,Spare,Gender,Age
1,1,0,1
2,0,0,0
3,1,1,1
4,0,1,0
5,0,1,1
6,1,1,2
7,0,0,0
8,1,1,0
9,1,1,1
10,0,1,0
11,0,0,0
12,1,0,2
13,1,0,2
14,0,1,2
15,1,0,1
16,0,0,0
17,0,0,1
18,1,0,2
19,1,0,1
20,0,0,2
21,0,0,0
22,1,1,0
23,0,0,2
24,1,1,2
25,1,1,1
26,0,1,0
27,1,1,1
28,0,1,2
29,0,0,0
30,1,0,2
31,0,0,0
32,1,0,2
33,0,0,0
34,1,1,0
35,1,0,1
36,0,0,0
37,0,1,0
38,1,1,2
39,1,1,1
40,0,1,0
41,0,1,0
42,1,1,2
43,1,0,1
44,0,0,0
45,0,0,1
46,1,1,1
47,0,0,0
48,1,0,2
49,0,0,0
50,1,0,2
51,1,0,0
52,0,1,0
53,0,1,1
54,1,1,2
55,0,0,1
56,1,1,1
57,1,0,1
58,0,0,0
59,1,0,1
60,0,0,0
61,1,1,1
62,0,1,0
63,0,0,0
64,1,0,2
65,0,0,1
66,1,1,1
67,0,0,2
68,1,1,2
69,0,1,0
70,1,1,2
71,1,0,0
72,0,1,0
73,0,0,1
74,1,0,2
75,1,0,0
76,0,1,0
77,1,0,1
78,0,0,0
79,0,0,1
80,1,1,1
81,1,1,1
82,0,1,0
83,1,0,1
84,0,1,1
85,1,0,0
86,0,0,2
87,0,1,1
88,1,1,2
89,0,0,1
90,1,0,2
91,1,1,1
92,0,1,0
93,1,1,1
94,0,1,0
95,1,0,1
96,0,0,0
97,0,1,1
98,1,1,0
99,1,0,1
100,0,1,1
101,0,0,2
102,1,1,2
103,1,0,0
104,0,1,0
105,1,0,1
106,0,0,0
107,1,0,1
108,0,0,0
109,1,0,1
110,0,0,0
111,0,1,0
112,1,1,2
113,1,1,1
114,0,1,0
115,0,1,1
116,1,1,2
117,0,0,1
118,1,1,1
119,0,1,0
120,1,1,2
121,1,1,1
122,0,1,0
123,0,0,2
124,1,1,2
125,1,0,1
126,0,0,0
127,0,1,1
128,1,1,2
129,1,0,0
130,0,1,0
131,1,0,1
132,0,0,0
133,0,0,1
134,1,0,2
135,0,1,1
136,1,1,2
137,1,0,0
138,0,1,0
139,0,0,0
140,1,0,2
141,0,0,2
142,1,1,2
143,0,0,2
144,1,1,2
145,1,0,1
146,0,0,0
147,0,0,0
148,1,0,2
149,0,0,1
150,1,0,0
151,0,0,0
152,1,0,2
153,1,1,1
154,0,1,0
155,0,0,0
156,1,1,0
157,0,0,0
158,1,0,2
159,0,0,0
160,1,1,0
161,1,0,1
162,0,0,0
163,0,0,2
164,1,1,2
165,0,0,0
166,1,0,2
167,0,0,1
168,1,0,2
169,0,0,2
170,1,1,2
171,1,0,1
172,0,1,1
173,0,0,0
174,1,1,0
175,0,0,1
176,1,1,1
177,1,0,1
178,0,0,0
179,1,0,1
180,0,0,0
181,0,1,0
182,1,1,2
183,1,1,1
184,0,1,0
185,1,0,1
186,0,0,0
187,1,0,1
188,0,1,1
189,0,0,0
190,1,1,0
191,0,0,1
192,1,0,2
193,1,0,0
194,0,1,0
195,1,0,2
196,0,1,2
197,1,0,0
198,0,1,0
199,0,0,1
200,1,0,2
201,1,1,1
202,0,1,0
203,1,0,2
204,0,1,2
205,1,1,1
206,0,1,0
207,1,1,1
208,0,1,0
209,0,0,1
210,1,1,1
211,0,0,0
212,1,0,2
213,0,0,2
214,1,1,2
215,0,1,1
216,1,1,0
217,0,1,0
218,1,1,2
219,1,0,1
220,0,1,1
221,1,0,1
222,0,0,0
223,1,0,1
224,0,0,0
225,0,1,1
226,1,1,0
227,1,0,0
228,0,1,0
229,1,1,0
230,0,1,2
231,1,0,1
232,0,1,1
233,0,1,1
234,1,1,2
235,1,0,0
236,0,1,0
237,1,0,1
238,0,0,0
239,1,0,1
240,0,0,0
241,1,0,1
242,0,0,0
243,0,0,1
244,1,0,0
245,0,1,0
246,1,1,2
247,0,0,1
248,1,0,0
249,0,1,0
250,1,1,2
251,0,1,1
252,1,1,2
253,1,0,1
254,0,0,0
255,0,0,1
256,1,0,0
