Ind,Spare,Gender,Age
1,1,0,1
2,0,0,0
3,1,1,1
4,0,1,0
5,0,1,1
6,1,1,2
7,0,0,0
8,1,1,0
9,1,1,1
10,0,1,0
13,1,0,2
14,0,1,2
15,1,0,1
16,0,0,0
17,0,0,1
18,1,0,2
19,1,0,1
20,0,0,2
21,0,0,0
22,1,1,0
23,0,0,2
24,1,1,2
25,1,1,1
26,0,1,0
27,1,1,1
28,0,1,2
35,1,0,1
36,0,0,0
37,0,1,0
38,1,1,2
39,1,1,1
40,0,1,0
47,0,0,0
48,1,0,2
55,0,0,1
56,1,1,1
57,1,0,1
58,0,0,0
59,1,0,1
60,0,0,0
65,0,0,1
66,1,1,1
67,0,0,2
68,1,1,2
69,0,1,0
70,1,1,2
75,1,0,0
76,0,1,0
89,0,0,1
90,1,0,2
91,1,1,1
92,0,1,0
93,1,1,1
94,0,1,0
95,1,0,1
96,0,0,0
99,1,0,1
100,0,1,1
101,0,0,2
102,1,1,2
103,1,0,0
104,0,1,0
105,1,0,1
106,0,0,0
107,1,0,1
108,0,0,0
113,1,1,1
114,0,1,0
119,0,1,0
120,1,1,2
121,1,1,1
122,0,1,0
131,1,0,1
132,0,0,0
133,0,0,1
134,1,0,2
137,1,0,0
138,0,1,0
139,0,0,0
140,1,0,2
141,0,0,2
142,1,1,2
143,0,0,2
144,1,1,2
147,0,0,0
148,1,0,2
149,0,0,1
150,1,0,0
155,0,0,0
156,1,1,0
161,1,0,1
162,0,0,0
163,0,0,2
164,1,1,2
167,0,0,1
168,1,0,2
169,0,0,2
170,1,1,2
171,1,0,1
172,0,1,1
173,0,0,0
174,1,1,0
177,1,0,1
178,0,0,0
181,0,1,0
182,1,1,2
187,1,0,1
188,0,1,1
191,0,0,1
192,1,0,2
193,1,0,0
194,0,1,0
195,1,0,2
196,0,1,2
197,1,0,0
198,0,1,0
199,0,0,1
200,1,0,2
203,1,0,2
204,0,1,2
207,1,1,1
208,0,1,0
209,0,0,1
210,1,1,1
215,0,1,1
216,1,1,0
217,0,1,0
218,1,1,2
219,1,0,1
220,0,1,1
221,1,0,1
222,0,0,0
227,1,0,0
228,0,1,0
229,1,1,0
230,0,1,2
231,1,0,1
232,0,1,1
233,0,1,1
234,1,1,2
237,1,0,1
238,0,0,0
239,1,0,1
240,0,0,0
241,1,0,1
242,0,0,0
243,0,0,1
244,1,0,0
245,0,1,0
246,1,1,2
251,0,1,1
252,1,1,2
253,1,0,1
254,0,0,0
257,0,0,1
258,1,1,1
259,1,0,0
260,0,0,2
261,1,0,0
262,0,1,0
265,1,0,1
266,0,0,0
267,0,0,1
268,1,1,1
269,0,1,0
270,1,1,2
275,0,1,0
276,1,1,2
279,0,0,1
280,1,0,2
283,1,1,1
284,0,1,0
297,0,0,1
298,1,0,2
305,1,0,0
306,0,0,2
311,0,0,1
312,1,0,2
313,0,0,0
314,1,0,2
315,0,0,2
316,1,1,2
329,0,0,1
330,1,1,1
331,1,0,1
332,0,0,0
333,1,1,1
334,0,1,0
335,0,0,2
336,1,1,2
339,0,1,0
340,1,1,2
341,0,0,1
342,1,0,2
343,0,0,1
344,1,1,1
345,1,1,1
346,0,1,0
349,0,0,0
350,1,1,0
355,0,0,1
356,1,1,1
359,0,1,1
360,1,1,0
363,0,1,0
364,1,1,2
365,0,0,1
366,1,0,2
371,1,0,1
372,0,1,1
377,1,0,2
378,0,1,2
379,0,1,1
380,1,1,0
381,1,1,1
382,0,1,0
383,1,0,1
384,0,0,0
385,1,0,0
386,0,1,0
387,1,0,0
388,0,1,0
389,1,1,1
390,0,1,0
391,0,0,0
392,1,1,0
395,1,1,1
396,0,1,0
399,1,0,1
400,0,1,1
401,0,0,1
402,1,0,2
403,1,1,1
404,0,1,0
405,0,0,1
406,1,1,1
407,1,0,1
408,0,0,0
409,1,0,2
410,0,1,2
411,0,0,1
412,1,0,0
413,1,0,1
414,0,0,0
415,0,0,0
416,1,1,0
417,1,0,1
418,0,0,0
421,1,0,0
422,0,1,0
423,1,1,1
424,0,1,0
427,1,0,0
428,0,1,0
431,0,1,0
432,1,1,2
